,month,city,state,aqi,missing_aqi
1128,January,agra,uttar pradesh,121.25806451612904,0.0
1129,January,ahmedabad,gujarat,133.48387096774192,0.0
1130,January,aizawl,mizoram,43.275862068965516,0.06451612903225806
1131,January,ajmer,rajasthan,111.7741935483871,0.0
1132,January,akola,maharashtra,135.19354838709677,0.0
1133,January,alwar,rajasthan,123.6774193548387,0.0
1134,January,amaravati,andhra pradesh,139.52,0.1935483870967742
1135,January,ambala,haryana,113.10714285714286,0.0967741935483871
1136,January,amravati,maharashtra,142.16129032258064,0.0
1137,January,amritsar,punjab,147.38709677419354,0.0
1138,January,anantapur,andhra pradesh,76.92857142857143,0.0967741935483871
1139,January,angul,odisha,295.9310344827586,0.06451612903225806
1140,January,ankleshwar,gujarat,129.3,0.03225806451612903
1141,January,araria,bihar,282.5925925925926,0.12903225806451613
1142,January,ariyalur,tamil nadu,49.75,0.22580645161290322
1143,January,arrah,bihar,309.6296296296296,0.12903225806451613
1144,January,asansol,west bengal,223.7741935483871,0.0
1145,January,baddi,himachal pradesh,298.76666666666665,0.03225806451612903
1146,January,badlapur,maharashtra,191.25,0.0967741935483871
1147,January,bagalkot,karnataka,51.166666666666664,0.03225806451612903
1148,January,baghpat,uttar pradesh,215.4,0.03225806451612903
1149,January,bahadurgarh,haryana,255.0,0.0
1150,January,balasore,odisha,299.6774193548387,0.0
1151,January,ballabgarh,haryana,267.76666666666665,0.03225806451612903
1152,January,banswara,rajasthan,152.74193548387098,0.0
1153,January,baran,rajasthan,140.16129032258064,0.0
1154,January,barbil,odisha,198.0,0.0
1155,January,bareilly,uttar pradesh,80.45161290322581,0.0
1156,January,baripada,odisha,240.92857142857142,0.0967741935483871
1157,January,barmer,rajasthan,108.45161290322581,0.0
1158,January,barrackpore,west bengal,239.47826086956522,0.25806451612903225
1159,January,bathinda,punjab,100.10344827586206,0.06451612903225806
1160,January,begusarai,bihar,,1.0
1161,January,belapur,maharashtra,128.93103448275863,0.06451612903225806
1162,January,belgaum,karnataka,67.13333333333334,0.03225806451612903
1163,January,bengaluru,karnataka,100.09677419354838,0.0
1164,January,bettiah,bihar,89.94736842105263,0.3870967741935484
1165,January,bhagalpur,bihar,360.5,0.03225806451612903
1166,January,bharatpur,rajasthan,239.71428571428572,0.0967741935483871
1167,January,bhilai,chhattisgarh,120.41935483870968,0.0
1168,January,bhilwara,rajasthan,179.06896551724137,0.06451612903225806
1169,January,bhiwadi,rajasthan,261.53333333333336,0.03225806451612903
1170,January,bhiwandi,maharashtra,178.0909090909091,0.2903225806451613
1171,January,bhiwani,haryana,167.25806451612902,0.0
1172,January,bhopal,madhya pradesh,170.90322580645162,0.0
1173,January,bidar,karnataka,130.77272727272728,0.2903225806451613
1174,January,bihar_sharif,bihar,148.89285714285714,0.0967741935483871
