,Name,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
71,Panki Thermal Power Station,Panki,Kanpur,Uttar Pradesh,Northern,26°28′35″N 80°14′31″E﻿ / ﻿26.47639°N 80.24194°E﻿ / 26.47639; 80.24194﻿ (Panki Thermal Power Station),2 x 105$,,UPRVUNL,State
72,Rajghat Power Station,Rajghat,New Delhi,Delhi,Northern,,2 X 67.5$,-,IPGCL,State
73,VS Lignite Power Plant,Gurha,Bikaner,Rajasthan,Northern,27°51′18″N 72°51′22″E﻿ / ﻿27.85500°N 72.85611°E﻿ / 27.85500; 72.85611﻿ (VS Lignite Power Plant),1 x 135,135,KSK Energy Ventures,Private
74,Faridabad Thermal Power Station,Faridabad,Faridabad,Haryana,Northern,28°22′28″N 77°18′21″E﻿ / ﻿28.37444°N 77.30583°E﻿ / 28.37444; 77.30583﻿ (Faridabad Thermal Power Station),1 x 55,55,HPGCL,State
75,,,,,,,,,,
76,Barh Super Thermal Power Station,Barh,Patna,Bihar,Eastern,25°14′34″N 87°15′48″E﻿ / ﻿25.24278°N 87.26333°E﻿ / 25.24278; 87.26333﻿ (Barh Super Thermal Power Station),"3 x 660, 2 x 660","3,300",NTPC,Central
77,Talcher Super Thermal Power Station[23],Kaniha,Angul,Odisha,"Eastern, Southern",21°05′49″N 85°04′30″E﻿ / ﻿21.09694°N 85.07500°E﻿ / 21.09694; 85.07500﻿ (Talcher Super Thermal Power Station),"2 x 500, 4 X 500","3,000",NTPC,Central
78,Sterlite Jharsuguda Power Station,Jharsuguda,Jharsuguda,Odisha,Eastern,21°48′49″N 84°02′23″E﻿ / ﻿21.81361°N 84.03972°E﻿ / 21.81361; 84.03972﻿ (Jharsuguda TPP),4x600,"2,400",Vedanta,Private
79,Mejia Thermal Power Station,Durlavpur,Bankura,West Bengal,Eastern,23°27′47″N 87°07′51″E﻿ / ﻿23.46306°N 87.13083°E﻿ / 23.46306; 87.13083﻿ (Mejia Thermal Power Station),"4 x 210, 2 x 250, 2 x 500","2,340",DVC,Central
80,Kahalgaon Super Thermal Power Station,Kahalgaon,Bhagalpur,Bihar,Eastern,25°14′34″N 87°15′48″E﻿ / ﻿25.24278°N 87.26333°E﻿ / 25.24278; 87.26333﻿ (Kahalgaon Super Thermal Power Station),"4 x 210, 3 x 500","2,340",NTPC,Central
81,Farakka Super Thermal Power Station,Farakka,Murshidabad,West Bengal,Eastern,24°46′23″N 87°53′43″E﻿ / ﻿24.77306°N 87.89528°E﻿ / 24.77306; 87.89528﻿ (Farakka Super Thermal Power Station),"3 x 200, 2 x 500, 1 x 500","2,100",NTPC,Central
82,Nabinagar Super Thermal Power Project,Nabinagar,Aurangabad,Bihar,Eastern,25°14′34″N 87°15′48″E﻿ / ﻿25.24278°N 87.26333°E﻿ / 25.24278; 87.26333﻿ (Nabinagar Supercritical Thermal Power Project),3 x 660,"1,980",NTPC,Central
83,Vedanta Jharsuguda Captive Power Plant,Jharsuguda,Jharsuguda,Odisha,Eastern,21°47′08″N 84°03′18″E﻿ / ﻿21.78556°N 84.05500°E﻿ / 21.78556; 84.05500﻿ (Vedanta Aluminium CPP),9x135,"1,215",Vedanta,Private
84,Kolaghat Thermal Power Station,Mecheda,East Midnapore,West Bengal,Eastern,22°25′00″N 87°52′15″E﻿ / ﻿22.41667°N 87.87083°E﻿ / 22.41667; 87.87083﻿ (Kolaghat Thermal Power Station),6 x 210,"1,260",WBPDCL,State
85,Chandrapura Thermal Power Station,Chandrapura,Bokaro,Jharkhand,Eastern,,"3 x 130$, 3 x 120, 2 x 250",860,DVC,Central
86,Angul Thermal Power Station,Angul,Angul,Odisha,Eastern,21°07′29″N 84°58′51″E﻿ / ﻿21.12472°N 84.98083°E﻿ / 21.12472; 84.98083﻿ (Jindal India TPP),2x600,"1,200",Jindal India Thermal Power,Private
87,National Aluminium Company Captive Power Plant,Angul,Angul,Odisha,Eastern,20°51′11″N 85°11′26″E﻿ / ﻿20.85306°N 85.19056°E﻿ / 20.85306; 85.19056﻿ (Captive Power Plant),10 x 120,"1,200",NALCO,State
88,Kamalanga Thermal Power Plant,Dhenkanal,Dhenkanal,Odisha,Eastern,20°52′24″N 85°16′28″E﻿ / ﻿20.87333°N 85.27444°E﻿ / 20.87333; 85.27444﻿ (Thermal Power Plant),3x350,"1,050",GMR Group,State
89,Bakreshwar Thermal Power Station,Suri,Birbhum,West Bengal,Eastern,23°49′43″N 87°27′06″E﻿ / ﻿23.82861°N 87.45167°E﻿ / 23.82861; 87.45167﻿ (Bakreshwar Thermal Power Station),5 x 210,"1,050",WBPDCL,State
90,Maithon Power Plant[24],Maithon,Dhanbad,Jharkhand,Eastern,,2 X 525,"1,050","DVC, Tata Power",Central
91,Durgapur Steel Thermal Power Station,Durgapur,Bardhaman,West Bengal,Eastern,23°27′47″N 87°07′51″E﻿ / ﻿23.46306°N 87.13083°E﻿ / 23.46306; 87.13083﻿ (Durgapur Steel Thermal Power Station),2 x 500,"1,000",DVC,Central
92,Koderma Thermal Power Station,Kodarma,Koderma,Jharkhand,Eastern,23°27′47″N 87°07′51″E﻿ / ﻿23.46306°N 87.13083°E﻿ / 23.46306; 87.13083﻿ (KODERMA Thermal Power Station),2 x 500,"1,000",DVC,Central
93,Bhartiya Rail Bijlee Company Limited (BRBCL),Nabinagar,Aurangabad,Bihar,Eastern,25°14′34″N 87°15′48″E﻿ / ﻿25.24278°N 87.26333°E﻿ / 25.24278; 87.26333﻿ (Bhartiya Rail Bijlee Company Limited),4x 250,"1,000",NTPC,Central
94,Ib Thermal Power Station,Banharpali,Jharsuguda,Odisha,Eastern,21°41′23″N 83°51′36″E﻿ / ﻿21.68972°N 83.86000°E﻿ / 21.68972; 83.86000﻿ (IB Thermal Power Plant),8 x 120,960,OPGCL,State
