,State,Capacity(MW)
0,andhra pradesh,11275.0
1,bihar,10040.0
2,chhattisgarh,17795.0
3,delhi,0.0
4,gujarat,15592.0
5,haryana,4065.0
6,jharkhand,6627.5
7,karnataka,7080.0
8,madhya pradesh,15720.0
9,maharashtra,16750.0
10,odisha,11852.5
11,punjab,3320.0
12,rajasthan,4955.0
13,tamil nadu,12160.0
14,telangana,6162.5
15,uttar pradesh,16608.0
16,west bengal,11145.0
