,Power station,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
34,Gama Infraprop CCPP,,,Uttarakhand,Northern,,1 x 225,225,,Private
35,,,,,,,,,,
36,APGPCL Plant,Vijjeswaram,West Godavari,Andhra Pradesh,Southern,16°56′02″N 81°43′27″E﻿ / ﻿16.93389°N 81.72417°E﻿ / 16.93389; 81.72417﻿ (APGPCL Plant),"2 x 33, 1 x 34, 1 x 172",272,APGPCL,Joint
37,Lanco Kondapalli Power Plant,Kondapalli,Krishna,Andhra Pradesh,Southern,16°38′20″N 80°33′00″E﻿ / ﻿16.63889°N 80.55000°E﻿ / 16.63889; 80.55000﻿ (Lanco Kondapalli Power Plant),"1 x 233, 1 x 133, 1 x 128.99, 2 x 119.57, 1 x 732",1466,Lanco Infratech,Private
38,Gautami Combined Cycle Power Plant,Peddapuram,East Godavari,Andhra Pradesh,Southern,17°02′21″N 82°08′43″E﻿ / ﻿17.03917°N 82.14528°E﻿ / 17.03917; 82.14528﻿ (Gautami Combined Cycle Power Plant),"2 x 145, 1 x 174",464,GVK,Private
39,Konaseema Combined Cycle Power Plant,Ravulapalem,East Godavari,Andhra Pradesh,Southern,16°44′05″N 81°51′44″E﻿ / ﻿16.73472°N 81.86222°E﻿ / 16.73472; 81.86222﻿ (Konaseema Combined Cycle Power Plant),"2 x 140, 1 x 165",445,Konaseema Gas Power Limited (KGPL),Private
40,Vemagiri Combined Cycle Power Plant,Vemagiri,East Godavari,Andhra Pradesh,Southern,16°55′29″N 81°48′46″E﻿ / ﻿16.92472°N 81.81278°E﻿ / 16.92472; 81.81278﻿ (Vemagiri Combined Cycle Power Plant),"1 x 137, 1 x 233",370,GMR,Private
41,GMR Rajamundry Combined Cycle Power Plant[29],Vemagiri,East Godavari,Andhra Pradesh,Southern,16°55′28″N 81°48′46″E﻿ / ﻿16.92444°N 81.81278°E﻿ / 16.92444; 81.81278﻿ (Vemagiri Combined Cycle Power Plant),1 x 768,768,GMR,Private
42,Samarlakota Combined Cycle Power Plant,Samarlakota,East Godavari,Andhra Pradesh,Southern,17°02′19″N 82°08′05″E﻿ / ﻿17.03861°N 82.13472°E﻿ / 17.03861; 82.13472﻿ (Samarlakota Combined Cycle Power Plant),"1 x 140, 1 x 80, 3 x 800",2620,Reliance,Private
43,Jegurupadu Combined Cycle Power Plant,Jegurupadu,East Godavari,Andhra Pradesh,Southern,16°55′54″N 81°51′36″E﻿ / ﻿16.93167°N 81.86000°E﻿ / 16.93167; 81.86000﻿ (Jegurupadu Combined Cycle Power Plant),"2 x 46, 1 x 49, 1 x 75",445,GVK,Private
