,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
120,punjab,jalandhar,785178,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,285.01,1009.19,70.48,2.18,0.03,28.84,187.31,3320.0,0.0,143.48275862068965,0.06451612903225806,Moderate
121,maharashtra,jalgaon,429298,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,294.34,1006.9,48.74,2.38,0.01,12.38,257.85,16750.0,3460.0,114.76666666666667,0.03225806451612903,Moderate
122,maharashtra,jalna,262034,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,293.88,997.25,52.09,2.33,0.0,16.13,222.23,16750.0,3460.0,142.0,0.03225806451612903,Moderate
123,rajasthan,jalore,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,289.95,1009.66,46.29,2.55,0.0,9.66,272.62,4955.0,856.8,180.16129032258064,0.0,Moderate
124,rajasthan,jhalawar,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,4955.0,856.8,196.5,0.03225806451612903,Moderate
125,uttar pradesh,jhansi,412927,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,288.42,1005.2,63.46,2.05,0.02,13.98,248.31,16608.0,1469.0,118.06451612903226,0.0,Moderate
126,rajasthan,jhunjhunu,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.08,1005.17,53.22,2.29,0.01,16.72,233.15,4955.0,856.8,209.61290322580646,0.0,Poor
127,haryana,jind,161260,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.29,1010.76,68.81,2.4,0.02,21.64,212.62,4065.0,430.0,158.96666666666667,0.03225806451612903,Moderate
128,rajasthan,jodhpur,921476,82188000.0,342239.0,16655.0,125138,19236010.0,537.4,4939664.0,12169.0,0.0,289.48,1007.93,45.37,2.84,0.01,10.59,269.46,4955.0,856.8,160.25806451612902,0.0,Moderate
130,andhra pradesh,kadapa,,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,296.25,1003.44,71.12,2.44,0.01,29.62,120.38,11275.0,7508.2,53.30769230769231,0.16129032258064516,Satisfactory
131,haryana,kaithal,140604,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,285.66,1010.15,68.4,2.44,0.04,23.41,203.77,4065.0,430.0,167.0,0.0967741935483871,Moderate
132,karnataka,kalaburagi,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,296.22,994.56,50.55,2.76,0.01,21.09,188.31,7080.0,0.0,52.4,0.03225806451612903,Satisfactory
133,maharashtra,kalyan,1262255,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,297.39,1012.63,54.04,2.04,0.0,11.94,238.92,16750.0,3460.0,114.72413793103448,0.06451612903225806,Moderate
134,tamil nadu,kanchipuram,155029,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.13,1013.29,75.01,2.96,0.01,38.37,45.31,12160.0,1013.49,99.83333333333333,0.8064516129032258,Satisfactory
135,kerala,kannur,,35967000.0,38852.0,21253.0,37796,14184184.0,512.0,1322850.0,21464.0,35.37,299.88,1011.12,72.55,2.45,0.01,31.97,89.69,0.0,516.5799999999999,60.785714285714285,0.0967741935483871,Satisfactory
136,uttar pradesh,kanpur,2823249,238875000.0,240928.0,14818.0,91576,34924824.0,685.6,19939223.0,0.0,0.0,287.55,1015.65,71.21,2.12,0.03,29.1,181.54,16608.0,1469.0,151.16129032258064,0.0,Moderate
137,rajasthan,karauli,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.94,1007.24,59.63,2.07,0.01,13.27,249.69,4955.0,856.8,265.57142857142856,0.0967741935483871,Poor
138,haryana,karnal,225049,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.15,1009.33,70.88,2.62,0.02,22.85,211.31,4065.0,430.0,128.10344827586206,0.06451612903225806,Moderate
140,karnataka,karwar,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,298.56,1013.33,74.35,2.94,0.01,23.28,174.46,7080.0,0.0,86.74193548387096,0.0,Satisfactory
141,uttarakhand,kashipur,,11795000.0,53483.0,24305.0,,2898982.0,94.7,403301.0,3463.0,0.0,285.15,991.53,64.94,1.73,0.03,25.02,191.85,0.0,900.0,173.37037037037038,0.12903225806451613,Moderate
142,bihar,katihar,192555,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.91,1018.67,65.55,2.59,0.21,19.9,225.0,10040.0,0.0,201.17857142857142,0.0967741935483871,Poor
143,madhya pradesh,katni,,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,289.15,996.43,59.24,1.95,0.02,15.54,245.46,15720.0,0.0,133.41379310344828,0.06451612903225806,Moderate
144,odisha,keonjhar,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,294.55,1015.68,67.7,1.9,0.01,21.44,203.69,11852.5,0.0,207.72413793103448,0.06451612903225806,Poor
145,punjab,khanna,117137,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,285.29,1008.75,67.71,2.63,0.04,26.23,191.85,3320.0,0.0,116.13333333333334,0.03225806451612903,Moderate
146,uttar pradesh,khurja,,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.76,1011.89,70.14,2.5,0.02,18.08,226.15,16608.0,1469.0,106.33333333333333,0.03225806451612903,Moderate
147,bihar,kishanganj,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,290.3,1019.23,64.52,2.35,0.2,20.11,224.08,10040.0,0.0,220.3448275862069,0.06451612903225806,Poor
148,kerala,kochi,,35967000.0,38852.0,21253.0,,14184184.0,512.0,1322850.0,21464.0,35.37,299.87,1013.71,72.9,2.4,0.08,37.15,99.62,0.0,516.5799999999999,113.45454545454545,0.6451612903225806,Moderate
149,nagaland,kohima,,2258000.0,16579.0,12251.0,,520293.0,217.7,62962.0,1032.0,0.0,288.8,998.7,76.28,1.03,0.02,25.29,175.69,0.0,0.0,100.35483870967742,0.0,Moderate
150,karnataka,kolar,126441,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,294.42,997.6,71.33,2.92,0.03,38.69,93.0,7080.0,0.0,84.53571428571429,0.0967741935483871,Satisfactory
151,maharashtra,kolhapur,516142,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,294.83,985.38,58.85,2.22,0.0,20.75,192.38,16750.0,3460.0,133.29032258064515,0.0,Moderate
152,west bengal,kolkata,4631392,99723000.0,88752.0,16832.0,124868,10915952.0,600.6,10188842.0,0.0,65.66,291.85,1014.83,72.48,2.16,0.01,20.05,198.54,12145.0,80.0,224.93548387096774,0.0,Poor
153,kerala,kollam,394163,35967000.0,38852.0,21253.0,,14184184.0,512.0,1322850.0,21464.0,35.37,300.37,1012.29,75.48,2.56,0.03,37.66,41.77,0.0,516.5799999999999,129.375,0.22580645161290322,Moderate
154,karnataka,koppal,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,297.04,1003.27,53.28,3.55,0.0,31.97,75.77,7080.0,0.0,104.71428571428571,0.3225806451612903,Moderate
155,chhattisgarh,korba,419146,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,291.41,1002.15,55.51,1.86,0.01,14.74,222.0,17795.0,0.0,76.87096774193549,0.0,Satisfactory
156,rajasthan,kota,763088,82188000.0,342239.0,16655.0,50944,19236010.0,537.4,4939664.0,12169.0,0.0,289.01,1002.57,58.11,1.95,0.01,11.46,259.54,4955.0,856.8,245.4516129032258,0.0,Poor
158,chhattisgarh,kunjemura,,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,,,,,,,,17795.0,0.0,142.96774193548387,0.0,Moderate
159,haryana,kurukshetra,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,285.92,1008.3,70.6,2.67,0.03,24.4,205.15,4065.0,430.0,183.3548387096774,0.0,Moderate
160,maharashtra,latur,348967,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,294.84,986.31,50.34,2.71,0.01,19.39,215.38,16750.0,3460.0,120.22222222222223,0.12903225806451613,Moderate
161,uttar pradesh,lucknow,2472011,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.81,1016.27,81.13,1.84,0.01,37.57,139.31,16608.0,1469.0,180.25806451612902,0.0,Moderate
162,punjab,ludhiana,1545368,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,285.04,1008.69,70.69,2.35,0.03,28.95,183.69,3320.0,0.0,171.53333333333333,0.03225806451612903,Moderate
163,karnataka,madikeri,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,293.96,966.82,62.71,2.74,0.08,36.67,146.15,7080.0,0.0,46.9,0.03225806451612903,Good
165,maharashtra,mahad,,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,296.15,1005.3,62.68,1.76,0.0,13.23,240.31,16750.0,3460.0,108.27586206896552,0.06451612903225806,Moderate
166,madhya pradesh,maihar,,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,288.9,1002.52,63.14,1.93,0.04,17.87,216.54,15720.0,0.0,73.6774193548387,0.0,Satisfactory
167,maharashtra,malegaon,435362,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,293.79,988.86,49.14,2.34,0.0,13.59,250.23,16750.0,3460.0,134.90322580645162,0.0,Moderate
168,punjab,mandi_gobindgarh,,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,285.29,1008.75,67.71,2.63,0.04,26.23,191.85,3320.0,0.0,182.9655172413793,0.06451612903225806,Moderate
169,madhya pradesh,mandideep,,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,289.48,1001.14,62.48,2.28,0.01,16.54,219.62,15720.0,0.0,153.74074074074073,0.12903225806451613,Moderate
170,haryana,mandikhera,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.9,1013.87,70.12,2.45,0.01,22.05,191.23,4065.0,430.0,121.10714285714286,0.0967741935483871,Moderate
171,haryana,manesar,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.26,1015.53,80.44,2.29,0.01,30.27,145.92,4065.0,430.0,207.86206896551724,0.06451612903225806,Poor
172,karnataka,mangalore,417387,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,299.75,1013.23,72.85,2.42,0.0,28.13,127.46,7080.0,0.0,76.78571428571429,0.0967741935483871,Satisfactory
173,bihar,manguraha,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,,,,,,,,10040.0,0.0,112.94736842105263,0.3870967741935484,Moderate
174,uttar pradesh,meerut,1223184,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.58,1010.19,68.33,2.6,0.03,20.6,217.77,16608.0,1469.0,214.58064516129033,0.0,Poor
175,chhattisgarh,milupara,,30638000.0,135192.0,55717.0,,6986219.0,325.0,5091882.0,5103.0,0.0,,,,,,,,17795.0,0.0,66.63333333333334,0.03225806451612903,Satisfactory
176,uttar pradesh,moradabad,721139,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.86,1011.25,70.53,2.51,0.03,21.95,195.15,16608.0,1469.0,137.38709677419354,0.0,Moderate
177,bihar,motihari,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.06,1018.39,66.8,2.31,0.07,20.79,203.54,10040.0,0.0,176.5,0.03225806451612903,Moderate
178,maharashtra,mumbai,12691836,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,298.45,1015.62,63.76,3.13,0.0,11.86,229.69,16750.0,3460.0,116.25806451612904,0.0,Moderate
179,bihar,munger,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.73,1017.83,67.53,2.35,0.07,19.3,209.0,10040.0,0.0,185.33333333333334,0.03225806451612903,Moderate
180,uttar pradesh,muzaffarnagar,349706,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.12,1008.56,70.09,2.55,0.03,22.79,211.77,16608.0,1469.0,276.7741935483871,0.0,Poor
181,bihar,muzaffarpur,333200,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.37,1016.86,70.99,2.32,0.78,26.6,162.85,10040.0,0.0,249.48387096774192,0.0,Poor
182,karnataka,mysuru,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.22,980.01,64.3,2.77,0.08,33.5,127.15,7080.0,0.0,63.29032258064516,0.0,Satisfactory
183,assam,nagaon,,36159000.0,78438.0,28312.0,,4358529.0,350.5,1845346.0,6425.0,0.0,290.29,1013.53,79.85,1.48,0.01,35.35,85.77,0.0,479.2,205.93103448275863,0.06451612903225806,Poor
185,rajasthan,nagaur,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.82,1010.68,53.19,2.44,0.01,15.52,237.92,4955.0,856.8,180.66666666666666,0.03225806451612903,Moderate
186,maharashtra,nagpur,2228018,127684000.0,307713.0,50798.0,100763,37786256.0,536.1999999999999,13486140.0,0.0,218.73,293.76,1013.52,59.77,1.63,0.01,17.58,194.31,16750.0,3460.0,164.3548387096774,0.0,Moderate
187,arunachal pradesh,naharlagun,,1580000.0,83743.0,66431.0,,230126.0,35.4,36171.0,0.0,0.0,288.9,1011.15,71.49,1.42,0.02,32.07,98.92,0.0,0.0,89.45454545454545,0.2903225806451613,Satisfactory
188,assam,nalbari,,36159000.0,78438.0,28312.0,,4358529.0,350.5,1845346.0,6425.0,0.0,290.29,1013.53,79.85,1.48,0.01,35.35,85.77,0.0,479.2,265.5,0.03225806451612903,Poor
189,maharashtra,nanded,550564,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,293.76,1013.52,59.77,1.63,0.01,17.58,194.31,16750.0,3460.0,137.1851851851852,0.12903225806451613,Moderate
190,gujarat,nandesari,,72653000.0,196244.0,14926.0,,26836981.0,518.3,6839415.0,36727.0,553.92,,,,,,,,15592.0,7990.72,19.0,0.967741935483871,Good
191,haryana,narnaul,,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.7,1012.12,68.42,2.29,0.01,22.34,188.62,4065.0,430.0,110.53571428571429,0.0967741935483871,Moderate
192,maharashtra,nashik,1289497,127684000.0,307713.0,50798.0,5063,37786256.0,536.1999999999999,13486140.0,0.0,218.73,292.9,983.15,51.97,2.22,0.0,13.38,246.23,16750.0,3460.0,117.45161290322581,0.0,Moderate
193,maharashtra,navi_mumbai,,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,297.7,1013.39,58.5,2.41,0.0,12.26,225.46,16750.0,3460.0,156.6451612903226,0.0,Moderate
194,odisha,nayagarh,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,294.62,1016.19,73.44,1.87,0.01,22.71,186.77,11852.5,0.0,163.92,0.1935483870967742,Moderate
195,uttar pradesh,noida,293908,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,286.26,1016.3,68.87,2.34,0.02,25.76,162.92,16608.0,1469.0,306.4193548387097,0.0,Very Poor
196,tamil nadu,ooty,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,297.35,1001.67,66.4,2.33,0.02,35.91,55.38,12160.0,1013.49,68.08695652173913,0.25806451612903225,Satisfactory
197,rajasthan,pali,210103,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,289.95,1009.66,46.29,2.55,0.0,9.66,272.62,4955.0,856.8,201.27586206896552,0.06451612903225806,Poor
198,tamil nadu,palkalaiperur,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,,,,,,,,12160.0,1013.49,49.48148148148148,0.12903225806451613,Good
199,haryana,palwal,121965,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.9,1013.87,70.12,2.45,0.01,22.05,191.23,4065.0,430.0,113.28,0.1935483870967742,Moderate
200,haryana,panchkula,200000,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,285.62,998.69,67.12,2.3,0.04,26.4,196.92,4065.0,430.0,181.93103448275863,0.06451612903225806,Moderate
201,haryana,panipat,292808,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.18,1009.39,70.67,2.56,0.02,22.36,212.92,4065.0,430.0,144.125,0.22580645161290322,Moderate
202,maharashtra,parbhani,289629,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,295.14,997.06,50.26,2.41,0.0,17.47,226.62,16750.0,3460.0,123.74193548387096,0.0,Moderate
203,jharkhand,pathardih,,40129000.0,79716.0,23721.0,,5064983.0,128.6,4436052.0,6449.0,0.0,290.48,1007.18,57.16,2.32,0.02,17.99,225.08,6627.5,0.0,210.07142857142858,0.5483870967741935,Poor
204,punjab,patiala,329224,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,285.5,1008.14,68.1,2.68,0.04,25.7,196.15,3320.0,0.0,139.2,0.03225806451612903,Moderate
205,bihar,patna,1599920,129205000.0,94163.0,7381.0,176625,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,287.98,1017.02,81.18,1.88,0.15,32.73,123.38,10040.0,0.0,283.7096774193548,0.0,Poor
207,madhya pradesh,pithampur,,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,290.4,996.88,59.84,2.46,0.0,12.72,230.38,15720.0,0.0,155.58064516129033,0.0,Moderate
208,rajasthan,pratapgarh,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,289.66,997.52,56.23,2.7,0.01,9.96,263.23,4955.0,856.8,132.53333333333333,0.03225806451612903,Moderate
209,uttar pradesh,prayagraj,,238875000.0,240928.0,14818.0,100152,34924824.0,685.6,19939223.0,0.0,0.0,288.7,1015.48,68.55,2.13,0.02,21.64,213.46,16608.0,1469.0,131.09677419354838,0.0,Moderate
210,puducherry,puducherry,227411,1695000.0,490.0,53.3,,1118782.0,338.1,68391.0,2139.0,4.07,298.45,1017.67,82.29,4.33,0.03,41.2,90.23,0.0,32.5,75.62068965517241,0.06451612903225806,Satisfactory
212,maharashtra,pune,2935744,127684000.0,307713.0,50798.0,223639,37786256.0,536.1999999999999,13486140.0,0.0,218.73,293.99,985.73,53.89,2.12,0.0,14.26,235.92,16750.0,3460.0,128.7741935483871,0.0,Moderate
213,bihar,purnia,198453,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.91,1019.37,66.01,2.57,0.21,20.1,226.46,10040.0,0.0,222.6,0.03225806451612903,Poor
214,karnataka,raichur,225962,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,296.88,998.46,57.44,3.06,0.01,26.83,185.77,7080.0,0.0,112.1875,0.4838709677419355,Moderate
215,chhattisgarh,raipur,679995,30638000.0,135192.0,55717.0,131304,6986219.0,325.0,5091882.0,5103.0,0.0,292.97,1004.68,60.43,1.83,0.01,16.2,205.92,17795.0,0.0,99.80645161290323,0.0,Satisfactory
216,odisha,rairangpur,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,291.38,1009.7,58.46,1.56,0.01,17.86,217.85,11852.5,0.0,182.93103448275863,0.06451612903225806,Moderate
217,andhra pradesh,rajamahendravaram,,53402000.0,162968.0,29784.0,,13108491.0,351.3,16967754.0,0.0,175.18,296.99,1017.72,73.02,2.62,0.01,20.0,160.23,11275.0,7508.2,188.6153846153846,0.16129032258064516,Moderate
218,bihar,rajgir,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.4,1016.77,71.5,2.15,0.07,26.95,169.46,10040.0,0.0,304.6666666666667,0.03225806451612903,Very Poor
219,rajasthan,rajsamand,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.21,990.47,53.6,2.13,0.0,11.04,252.0,4955.0,856.8,154.0,0.0967741935483871,Moderate
220,karnataka,ramanagara,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.11,987.14,58.09,2.21,0.01,25.26,161.62,7080.0,0.0,70.3103448275862,0.06451612903225806,Satisfactory
221,tamil nadu,ramanathapuram,,77165000.0,130060.0,26419.0,,32094588.0,371.2,9606547.0,28200.0,140.37,298.42,1007.8,70.71,2.58,0.02,38.66,41.77,12160.0,1013.49,59.57692307692308,0.16129032258064516,Satisfactory
223,madhya pradesh,ratlam,236843,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,290.39,994.53,53.49,2.94,0.0,10.42,256.31,15720.0,0.0,126.6774193548387,0.0,Moderate
224,uttarakhand,rishikesh,,11795000.0,53483.0,24305.0,,2898982.0,94.7,403301.0,3463.0,0.0,284.88,998.37,68.47,1.69,0.04,24.72,204.85,0.0,900.0,116.96428571428571,0.0967741935483871,Moderate
225,haryana,rohtak,317245,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.51,1016.01,59.14,2.24,0.01,26.29,86.5,4065.0,430.0,214.29032258064515,0.0,Poor
226,odisha,rourkela,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,292.64,1008.53,61.84,1.76,0.01,15.32,215.46,11852.5,0.0,160.6451612903226,0.0,Moderate
227,punjab,rupnagar,,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,285.62,998.69,67.12,2.3,0.04,26.4,196.92,3320.0,0.0,185.41379310344828,0.06451612903225806,Moderate
228,madhya pradesh,sagar,,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,289.07,994.14,59.31,2.2,0.01,14.68,246.62,15720.0,0.0,116.06451612903226,0.0,Moderate
229,bihar,saharsa,145764,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.22,1019.25,67.17,2.59,0.21,20.5,207.62,10040.0,0.0,335.2413793103448,0.06451612903225806,Very Poor
230,tamil nadu,salem,778396,77165000.0,130060.0,26419.0,92785,32094588.0,371.2,9606547.0,28200.0,140.37,296.91,1002.45,69.86,2.11,0.03,37.6,105.08,12160.0,1013.49,85.0952380952381,0.3225806451612903,Satisfactory
231,bihar,samastipur,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,289.32,1018.14,65.51,2.55,0.2,20.82,198.69,10040.0,0.0,179.08,0.1935483870967742,Moderate
232,maharashtra,sangli,601214,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,295.19,985.09,55.81,2.61,0.0,20.64,191.85,16750.0,3460.0,139.9,0.03225806451612903,Moderate
233,bihar,sasaram,,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.16,1012.12,65.92,1.9,0.08,21.66,206.0,10040.0,0.0,218.60714285714286,0.0967741935483871,Poor
234,madhya pradesh,satna,257778,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,288.9,1002.52,63.14,1.93,0.04,17.87,216.54,15720.0,0.0,70.16129032258064,0.0,Satisfactory
235,rajasthan,sawai_madhopur,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,288.22,1007.09,59.9,1.87,0.01,11.66,258.46,4955.0,856.8,149.63333333333333,0.03225806451612903,Moderate
236,meghalaya,shillong,132842,3387000.0,22429.0,17046.0,,365804.0,124.5,198364.0,293.0,0.0,286.19,985.57,76.43,1.17,0.02,32.82,98.92,0.0,0.0,72.41935483870968,0.0,Satisfactory
237,karnataka,shivamogga,,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.91,978.86,60.11,2.58,0.07,31.45,163.62,7080.0,0.0,64.3225806451613,0.0,Satisfactory
238,rajasthan,sikar,199932,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,287.07,998.73,51.29,2.35,0.01,14.74,244.08,4955.0,856.8,238.43333333333334,0.03225806451612903,Poor
239,assam,silchar,152393,36159000.0,78438.0,28312.0,,4358529.0,350.5,1845346.0,6425.0,0.0,289.83,1008.93,72.58,1.3,0.07,21.34,224.0,0.0,479.2,49.2962962962963,0.12903225806451613,Good
240,west bengal,siliguri,,99723000.0,88752.0,16832.0,,10915952.0,600.6,10188842.0,0.0,65.66,289.12,977.83,63.35,1.56,0.03,27.96,181.31,12145.0,80.0,146.53846153846155,0.16129032258064516,Moderate
241,madhya pradesh,singrauli,185580,87954000.0,308252.0,77493.0,,17923162.0,515.3,12192267.0,6895.0,0.0,288.77,1002.76,65.16,1.8,0.03,22.17,210.69,15720.0,0.0,214.72413793103448,0.06451612903225806,Poor
242,rajasthan,sirohi,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,291.29,1010.26,49.93,2.36,0.0,8.67,259.15,4955.0,856.8,116.06451612903226,0.0,Moderate
243,haryana,sirsa,181639,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.78,1011.47,61.01,2.17,0.01,20.74,216.15,4065.0,430.0,113.6896551724138,0.06451612903225806,Moderate
244,assam,sivasagar,,36159000.0,78438.0,28312.0,,4358529.0,350.5,1845346.0,6425.0,0.0,288.9,1011.15,71.49,1.42,0.02,32.07,98.92,0.0,479.2,55.645161290322584,0.0,Satisfactory
245,bihar,siwan,119181,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.62,1018.12,68.57,2.44,0.07,20.74,207.23,10040.0,0.0,165.17857142857142,0.0967741935483871,Moderate
246,maharashtra,solapur,997281,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,296.53,991.91,49.09,2.96,0.0,19.23,219.31,16750.0,3460.0,120.16129032258064,0.0,Moderate
247,haryana,sonipat,250521,30694000.0,44212.0,1603.0,,8599668.0,823.3,1528133.0,13780.0,0.0,286.48,1013.5,69.38,2.45,0.01,23.97,183.54,4065.0,430.0,228.03225806451613,0.0,Poor
