,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in City,Registered Vehicles in State,Farming Area (sq. km in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Coal Capacity (Max Electricity ouput in MW),Gas Capacity (Max Electricity ouput in MW),aqi,missing_aqi,AQI Category
26,odisha,barbil,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,291.38,1009.7,58.46,1.56,0.01,17.86,217.85,11852.5,0.0,198.0,0.0,Moderate
27,uttar pradesh,bareilly,745435,238875000.0,240928.0,14818.0,,34924824.0,685.6,19939223.0,0.0,0.0,287.1,1012.39,70.69,2.52,0.02,19.25,200.38,16608.0,1469.0,80.45161290322581,0.0,Satisfactory
28,odisha,baripada,,46663000.0,155707.0,52156.0,,9115718.0,285.79999999999995,6739993.0,1994.0,0.0,293.11,1017.05,66.33,2.31,0.01,17.64,225.85,11852.5,0.0,240.92857142857142,0.0967741935483871,Poor
29,rajasthan,barmer,,82188000.0,342239.0,16655.0,,19236010.0,537.4,4939664.0,12169.0,0.0,289.48,1007.93,45.37,2.84,0.01,10.59,269.46,4955.0,856.8,108.45161290322581,0.0,Moderate
30,west bengal,barrackpore,,99723000.0,88752.0,16832.0,,10915952.0,600.6,10188842.0,0.0,65.66,291.9,1014.83,71.99,2.16,0.01,18.18,199.69,12145.0,80.0,239.47826086956522,0.25806451612903225,Poor
31,punjab,bathinda,242800,30992000.0,50362.0,1847.0,,11336366.0,817.0,1588455.0,0.0,0.0,286.46,1011.79,62.77,2.19,0.03,22.88,201.92,3320.0,0.0,100.10344827586206,0.06451612903225806,Moderate
33,maharashtra,belapur,,127684000.0,307713.0,50798.0,,37786256.0,536.1999999999999,13486140.0,0.0,218.73,297.7,1013.39,58.5,2.41,0.0,12.26,225.46,16750.0,3460.0,128.93103448275863,0.06451612903225806,Moderate
34,karnataka,belgaum,428720,68256000.0,191791.0,38730.0,,26117614.0,585.9000000000001,7155963.0,0.0,42.47,295.11,987.14,58.09,2.21,0.01,25.26,161.62,7080.0,0.0,67.13333333333334,0.03225806451612903,Satisfactory
35,karnataka,bengaluru,5104047,68256000.0,191791.0,38730.0,1141712,26117614.0,585.9000000000001,7155963.0,0.0,42.47,294.59,1007.05,69.66,2.77,0.01,34.81,93.69,7080.0,0.0,100.09677419354838,0.0,Moderate
36,bihar,bettiah,127008,129205000.0,94163.0,7381.0,,9903889.0,546.3000000000001,18345649.0,6345.0,0.0,288.77,1016.58,66.46,2.24,0.08,21.0,208.0,10040.0,0.0,89.94736842105263,0.3870967741935484,Satisfactory
