,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in State,Framing Area (Th. Ha. in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,aqi,missing_aqi,capacity_coal,capacity_gas
66,haryana,hisar,296436.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.86,1010.28,63.37,2.33,0.02,20.28,209.0,166.06896551724137,0.064516129032258,4065.0,430.0
67,haryana,jind,161260.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.22,1010.43,69.85,2.4,0.02,21.37,204.23,158.96666666666667,0.032258064516129,4065.0,430.0
68,haryana,kaithal,140604.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,285.59,1009.8,69.36,2.44,0.04,23.1,195.23,167.0,0.0967741935483871,4065.0,430.0
69,haryana,karnal,225049.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.09,1008.94,71.91,2.62,0.02,22.44,203.31,128.10344827586206,0.064516129032258,4065.0,430.0
74,haryana,palwal,121965.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.86,1013.7,70.86,2.45,0.01,22.44,179.15,113.28,0.1935483870967742,4065.0,430.0
75,haryana,panchkula,200000.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,285.46,997.8,68.14,2.29,0.04,25.8,190.38,181.93103448275863,0.064516129032258,4065.0,430.0
76,haryana,panipat,292808.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.12,1009.0,71.65,2.56,0.02,21.98,204.92,144.125,0.2258064516129032,4065.0,430.0
77,haryana,rohtak,317245.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.36,1015.82,60.16,2.24,0.01,26.56,76.08,214.29032258064515,0.0,4065.0,430.0
78,haryana,sirsa,181639.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.7,1011.17,61.95,2.16,0.01,20.4,206.62,113.6896551724138,0.064516129032258,4065.0,430.0
79,haryana,sonipat,250521.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.49,1013.31,70.3,2.45,0.01,23.98,174.31,228.03225806451613,0.0,4065.0,430.0
80,haryana,yamunanagar,208931.0,30694000.0,44212.0,1603.0,8599668.0,82.33,1528133.0,13780.0,0.0,286.53,1014.47,57.17,2.49,0.02,29.53,72.54,146.1,0.032258064516129,4065.0,430.0
83,jharkhand,dhanbad,219636.0,40129000.0,79716.0,23721.0,5064983.0,12.86,4436052.0,6449.0,0.0,290.4,1006.76,58.06,2.33,0.02,17.45,217.15,168.1,0.032258064516129,6627.5,0.0
87,karnataka,belgaum,428720.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,295.09,985.89,58.18,2.18,0.01,24.37,159.77,67.13333333333334,0.032258064516129,7080.0,0.0
88,karnataka,bengaluru,5104047.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,294.62,1006.72,69.36,2.74,0.01,34.59,92.77,100.09677419354838,0.0,7080.0,0.0
89,karnataka,bidar,204071.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,295.09,985.65,53.1,2.82,0.01,19.5,212.0,130.77272727272728,0.2903225806451613,7080.0,0.0
95,karnataka,gadag,162569.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,295.72,983.73,55.43,3.21,0.01,22.42,171.77,59.111111111111114,0.1290322580645161,7080.0,0.0
96,karnataka,hassan,128531.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,293.95,964.6,62.78,2.71,0.09,36.09,143.31,80.6,0.3548387096774194,7080.0,0.0
101,karnataka,kolar,126441.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,294.44,996.79,71.17,2.89,0.03,38.24,89.0,84.53571428571429,0.0967741935483871,7080.0,0.0
104,karnataka,mangalore,417387.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,299.73,1013.34,73.14,2.44,0.01,27.49,124.92,76.78571428571429,0.0967741935483871,7080.0,0.0
106,karnataka,raichur,225962.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,296.89,997.73,57.78,3.04,0.01,25.9,182.0,112.1875,0.4838709677419355,7080.0,0.0
110,karnataka,udupi,165000.0,68256000.0,191791.0,38730.0,26117614.0,58.59,7155963.0,0.0,42.47,299.39,1009.92,71.58,2.47,0.01,28.82,127.54,47.26086956521739,0.2580645161290322,7080.0,0.0
117,kerala,kollam,394163.0,35967000.0,38852.0,21253.0,14184184.0,51.2,1322850.0,21464.0,35.37,300.39,1012.37,75.81,2.48,0.04,36.57,39.38,129.375,0.2258064516129032,0.0,516.5799999999999
119,kerala,thiruvananthapuram,784153.0,35967000.0,38852.0,21253.0,14184184.0,51.2,1322850.0,21464.0,35.37,301.06,1010.78,73.05,2.06,0.02,29.62,23.31,70.45161290322581,0.0,0.0,516.5799999999999
121,madhya pradesh,bhopal,1599914.0,87954000.0,308252.0,77493.0,17923162.0,51.53,12192267.0,6895.0,0.0,289.4,1000.42,62.59,2.31,0.01,16.27,209.92,170.90322580645162,0.0,15720.0,0.0
122,madhya pradesh,damoh,118776.0,87954000.0,308252.0,77493.0,17923162.0,51.53,12192267.0,6895.0,0.0,289.35,999.96,60.32,2.09,0.03,14.76,235.54,74.5,0.4193548387096774,15720.0,0.0
