,City,Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,Latitude,Longitude
65,amritsar,284.29,1014.68,72.58,1.92,0.02,36.81,139.08,31.6343083,74.8736788
66,patiala,285.5,1008.14,68.1,2.68,0.04,25.7,196.15,30.3295605,76.4127819
67,mysuru,295.22,980.01,64.3,2.77,0.08,33.5,127.15,12.3051828,76.6553609
68,kolar,294.42,997.6,71.33,2.92,0.03,38.69,93.0,13.1367201,78.1337246
69,koppal,297.04,1003.27,53.28,3.55,0.0,31.97,75.77,15.3484144,76.1547421
70,bidar,295.06,986.96,52.61,2.83,0.01,20.58,216.38,17.9143767,77.5263568
71,vijayapura,295.77,985.12,51.98,3.16,0.06,24.04,191.46,16.8269911,75.7175387
72,gadag,295.73,985.08,55.16,3.27,0.0,23.94,174.92,15.4221812,75.6376639
73,mangalore,299.75,1013.23,72.85,2.42,0.0,28.13,127.46,12.8698101,74.8430082
74,kalaburagi,296.22,994.56,50.55,2.76,0.01,21.09,188.31,17.3310003,76.8334228
75,hubballi,295.65,983.56,57.19,2.92,0.0,21.49,169.77,15.3518378,75.1379848
76,udupi,299.42,1009.97,71.32,2.46,0.01,29.77,131.0,13.3419169,74.7473232
77,belgaum,295.11,987.14,58.09,2.21,0.01,25.26,161.62,15.8572666,74.5069343
78,madikeri,293.96,966.82,62.71,2.74,0.08,36.67,146.15,12.42149,75.7387543
79,haveri,295.65,983.56,57.19,2.92,0.0,21.49,169.77,14.7874825,75.3996731
80,tumakuru,294.69,997.65,65.79,2.9,0.03,37.22,104.08,13.3400771,77.1006208
81,bengaluru,294.59,1007.05,69.66,2.77,0.01,34.81,93.69,12.9767936,77.590082
82,dharwad,295.65,983.56,57.19,2.92,0.0,21.49,169.77,15.4540505,75.0066516
83,hassan,293.96,966.82,62.71,2.74,0.08,36.67,146.15,13.0070817,76.0992703
84,shivamogga,295.91,978.86,60.11,2.58,0.07,31.45,163.62,13.9326093,75.574978
85,chikkamagaluru,294.53,968.87,59.31,1.73,0.08,34.12,146.15,13.318014,75.7738743
86,bagalkot,295.77,985.12,51.98,3.16,0.06,24.04,191.46,16.1853166,75.6967919
87,davanagere,295.48,980.1,57.84,3.4,0.06,30.69,169.54,14.4661266,75.9206361
88,ramanagara,295.11,987.14,58.09,2.21,0.01,25.26,161.62,15.4221246,74.4887881
89,raichur,296.88,998.46,57.44,3.06,0.01,26.83,185.77,16.1983225,77.3527444
90,karwar,298.56,1013.33,74.35,2.94,0.01,23.28,174.46,14.8120931,74.1319229
91,latur,294.84,986.31,50.34,2.71,0.01,19.39,215.38,18.3983393,76.562087
92,kalyan,297.39,1012.63,54.04,2.04,0.0,11.94,238.92,19.2396742,73.1366482
93,sangli,295.19,985.09,55.81,2.61,0.0,20.64,191.85,16.8502534,74.5948885
94,dhule,294.72,1007.36,48.67,2.37,0.01,12.78,258.23,20.898,74.7732
95,bhiwandi,297.63,1013.51,54.33,2.2,0.0,11.92,237.0,19.3025562,73.0588072
